Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Kim P.H., Doolin C., Hauer B.D., MacDonald A.J.R., Freeman M.R., Barclay P.E., Davis J.P.","Nanoscale torsional optomechanics",2013,"Applied Physics Letters",31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874053408&doi=10.1063%2f1.4789442&partnerID=40&md5=ad75b0e1a80a830aea8e6420bdf825e0","Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada; National Institute for Nanotechnology, Edmonton, AB T6G 2M9, Canada; Institute for Quantum Information Science, Department of Physics and Astronomy, University of Calgary, Calgary, AB T2N 1N4, Canada","Kim, P.H., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada; Doolin, C., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada; Hauer, B.D., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada; MacDonald, A.J.R., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada; Freeman, M.R., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada, National Institute for Nanotechnology, Edmonton, AB T6G 2M9, Canada; Barclay, P.E., National Institute for Nanotechnology, Edmonton, AB T6G 2M9, Canada, Institute for Quantum Information Science, Department of Physics and Astronomy, University of Calgary, Calgary, AB T2N 1N4, Canada; Davis, J.P., Department of Physics, University of Alberta, Edmonton, AB T6G 2E9, Canada","Optomechanical transduction is demonstrated for nanoscale torsional resonators evanescently coupled to optical microdisk whispering gallery mode resonators. The on-chip, integrated devices are measured using a fully fiber-based system, including a tapered and dimpled optical fiber probe. With a thermomechanically calibrated optomechanical noise floor down to 7 fm / √Hz, these devices open the door for a wide range of physical measurements involving extremely small torques, as little as 4 × 10-20N · m. © 2013 American Institute of Physics.",,"Fiber-based systems; Integrated device; Microdisk whispering galleries; Nano scale; Noise floor; On chips; Optical fiber probe; Opto-mechanics; Optomechanical; Physical measurement; Torsional resonator; Optical fibers; Resonators; Nanotechnology"
"Ryckman J.D., Weiss S.M.","Low mode volume slotted photonic crystal single nanobeam cavity",2012,"Applied Physics Letters",31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865421611&doi=10.1063%2f1.4742749&partnerID=40&md5=9328223a1abee4f3356397de94bab372","Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN 37235, United States","Ryckman, J.D., Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN 37235, United States; Weiss, S.M., Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN 37235, United States","We present and experimentally demonstrate a slotted photonic crystal single nanobeam cavity in silicon. The slot geometry is exploited to achieve ultra-small effective mode volumes, ∼0.025(λ/n) 3, more than an order of magnitude smaller than traditional nanobeam cavities. A continuous slot and a tapered photonic crystal design are implemented to achieve experimental quality factors near 10 4. This device structure offers a unique platform for achieving enhanced light-matter interactions and could be used to benefit a variety of applications including non-linear optics, cavity quantum electro-dynamics, sensing, optical modulation, and nano-optomechanics. © 2012 American Institute of Physics.",,"Device structures; Light-matter interactions; Mode volume; Quality factors; Ultra-small; Photonic crystals; Nanowires"
"Gu W.-J., Li G.-X., Yang Y.-P.","Generation of squeezed states in a movable mirror via dissipative optomechanical coupling",2013,"Physical Review A - Atomic, Molecular, and Optical Physics",30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881534293&doi=10.1103%2fPhysRevA.88.013835&partnerID=40&md5=905351738db348d3acdd6f2aa6033aa8","Department of Physics, Huazhong Normal University, Wuhan 430079, China; Department of Physics, Tongji University, Shanghai 200092, China","Gu, W.-J., Department of Physics, Huazhong Normal University, Wuhan 430079, China; Li, G.-X., Department of Physics, Huazhong Normal University, Wuhan 430079, China; Yang, Y.-P., Department of Physics, Tongji University, Shanghai 200092, China","We investigate the generation of squeezed states in a movable mirror in dissipative optomechanics in which the oscillating mirror modulates both the resonance frequency and the linewidth of the cavity mode. Via feeding broadband squeezed-vacuum light accompanying a coherent driving laser field into the cavity, the master equation for the cavity-mirror system is derived by following the general reservoir theory. When the mirror is weakly coupled to the cavity mode, we find that the driven cavity field can effectively perform as a squeezed-vacuum reservoir for the movable mirror via utilizing the completely destructive interference of quantum noise. Efficient transfer of squeezing from the light to the movable mirror occurs, irrespective of the ratio between the cavity damping rate and the mechanical frequency. Moreover, when the mirror is moderately coupled to the cavity mode, photonic excitation can preclude the completely destructive interference of quantum noise. As a consequence, the mirror deviates from the ideal squeezed state. © 2013 American Physical Society.",,"Destructive interference; Master equations; Mechanical frequency; Movable mirrors; Optomechanical; Oscillating mirrors; Resonance frequencies; Squeezed state; Quantum noise; Quantum optics; Vacuum; Mirrors"
"Woolley M.J., Clerk A.A.","Two-mode back-action-evading measurements in cavity optomechanics",2013,"Physical Review A - Atomic, Molecular, and Optical Physics",30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880645452&doi=10.1103%2fPhysRevA.87.063846&partnerID=40&md5=25af2b4cbb750506f6ededb06edca96e","Department of Physics, McGill University, Montréal, QC H3A 2T8, Canada; School of Engineering and Information Technology, UNSW Canberra, Canberra, ACT 2600, Australia","Woolley, M.J., Department of Physics, McGill University, Montréal, QC H3A 2T8, Canada, School of Engineering and Information Technology, UNSW Canberra, Canberra, ACT 2600, Australia; Clerk, A.A., Department of Physics, McGill University, Montréal, QC H3A 2T8, Canada","We study theoretically a three-mode optomechanical system where two mechanical oscillators are coupled to a single cavity mode. By using two-tone (i.e., amplitude-modulated) driving of the cavity, it is possible to couple the cavity to a single collective quadrature of the mechanical oscillators. In such a way, a back-action-evading measurement of the collective mechanical quadrature is possible. We discuss how this can allow one to measure both quadratures of a mechanical force beyond the full quantum limit, paying close attention to the role of dissipation and experimental imperfections. We also describe how this scheme allows one to generate steady-state mechanical entanglement; namely, one can conditionally prepare an entangled, two-mode squeezed mechanical state. This entanglement can be verified directly from the measurement record by applying a generalized version of Duan's inequality; we also discuss how feedback can be used to produce unconditional entanglement. © 2013 American Physical Society.",,"Amplitude-modulated; Cavity optomechanics; Experimental imperfections; Mechanical force; Mechanical oscillators; Mechanical quadratures; Mechanical state; Opto-mechanical systems; Oscillators (mechanical); Oscillistors; Quantum entanglement"
"Karrai K., Favero I., Metzger C.","Doppler optomechanics of a photonic crystal",2008,"Physical Review Letters",30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45749086540&doi=10.1103%2fPhysRevLett.100.240801&partnerID=40&md5=7dd18c10735bf7b26a92ff69891bd1d9","Center for Nanoscience and Fakultät für Physik, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, 80539 München, Germany; Laboratoire Matériaux et Phénomènes Quantiques, Université Paris Diderot, UMR 7162, 75205 Paris Cedex 13, France","Karrai, K., Center for Nanoscience and Fakultät für Physik, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, 80539 München, Germany; Favero, I., Center for Nanoscience and Fakultät für Physik, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, 80539 München, Germany, Laboratoire Matériaux et Phénomènes Quantiques, Université Paris Diderot, UMR 7162, 75205 Paris Cedex 13, France; Metzger, C., Center for Nanoscience and Fakultät für Physik, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, 80539 München, Germany","A laser beam directed at a mirror attached onto a flexible mount adds friction to its mechanical motion by the Doppler effect. For a normal mirror the efficiency of this radiative Doppler friction is very weak and practically masked by laser shot noise. We find that it can become very efficient using a photonic crystal mirror near its photonic band gaps. As an example, a Bragg mirror used at the long wavelength edge of its band stop can be efficiently optically cooled using the Doppler friction. The opposite effect opens new routes for optical pumping of mechanical systems: a laser pointing at a Bragg mirror and tuned at its short wavelength edge induces amplification of the vibrational excitation of the mirror leading eventually to its self-oscillation. These new effects rely on the strong dependency of a photonic crystal reflectivity on the wavelength. © 2008 The American Physical Society.",,"Amplification; Crystal atomic structure; Doppler effect; Energy gap; Friction; Laser beams; Laser excitation; Lasers; Light; Mechanics; Nanostructured materials; Optical pumping; Optical systems; Photoacoustic effect; Photonic band gap; Photonic crystals; Powders; Pulsed laser deposition; Pumping (laser); Tribology; American Physical Society (APS); band stop; bragg mirrors; Crystal reflectivity; Doppler; Laser shots; Long wavelength (LW); mechanical motions; Mechanical system (MS); Optical (PET) (OPET); Opto mechanics; photonic; Photonic bands; Self oscillations; Short wavelength (SW); Vibrational excitations; Mirrors"
"Vanner M.R., Aspelmeyer M., Kim M.S.","Quantum State Orthogonalization and a Toolset for Quantum Optomechanical Phonon Control",2013,"Physical Review Letters",29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872037563&doi=10.1103%2fPhysRevLett.110.010504&partnerID=40&md5=1b8046b76412f30e425e89101331c73d","Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; QOLS, Blackett Laboratory, Imperial College London, London SW7 2AZ, United Kingdom","Vanner, M.R., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; Aspelmeyer, M., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; Kim, M.S., QOLS, Blackett Laboratory, Imperial College London, London SW7 2AZ, United Kingdom","We introduce a method that can orthogonalize any pure continuous variable quantum state, i.e., generate a state |ψ âŠ¥âŸ© from |ψâŸ © where âŸ̈ψ|ψâŠ¥â Ÿ©=0, which does not require significant a priori knowledge of the input state. We illustrate how to achieve orthogonalization using the Jaynes-Cummings or beamsplitter interaction, which permits realization in a number of physical systems. Furthermore, we demonstrate how to orthogonalize the motional state of a mechanical oscillator in a cavity optomechanics context by developing a set of coherent phonon level operations. As the mechanical oscillator is a stationary system, such operations can be performed at multiple times providing considerable versatility for quantum state engineering applications. Utilizing this, we additionally introduce a method how to transform any known pure state into any desired target state. Published by the American Physical Society under the terms of the uri xlink:href=""http:// creativecommons.org/licenses/by/3.0/""Creative Commons Attribution 3.0 License. Further distribution of this work must maintain attribution to the author(s) and the published article's title, journal citation, and DOI.",,"Coherent phonons; Continuous variables; Creative Commons; Input state; Jaynes-cummings; Mechanical oscillators; Opto-mechanics; Optomechanical; Orthogonalization; Physical societies; Physical systems; Priori knowledge; Pure state; Quantum state; Quantum-state engineering; Stationary systems; Target state; Toolsets; Oscillators (mechanical); Phonons; Quantum theory"
"Ghenuche P., Vincent G., Laroche M., Bardou N., Haïdar R., Pelouard J.-L., Collin S.","Optical extinction in a single layer of nanorods",2012,"Physical Review Letters",29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867057003&doi=10.1103%2fPhysRevLett.109.143903&partnerID=40&md5=8f7da326befc1cf4db9bb5f5a3a59940","Laboratoire de Photonique et Nanostructures (LPN-CNRS), Route de Nozay, 91460 Marcoussis, France; Onera-The French Aerospace Lab, Chemin de la Hunière, 91761 Palaiseau, France; Laboratoire Charles Fabry, Institut d'Optique, Campus Polytechnique, RD 128, 91127 Palaiseau cedex, France; Institute for Space Sciences, P.O. Box MG-23, RO-077125 Bucharest-Magurele, Romania","Ghenuche, P., Laboratoire de Photonique et Nanostructures (LPN-CNRS), Route de Nozay, 91460 Marcoussis, France, Onera-The French Aerospace Lab, Chemin de la Hunière, 91761 Palaiseau, France, Institute for Space Sciences, P.O. Box MG-23, RO-077125 Bucharest-Magurele, Romania; Vincent, G., Onera-The French Aerospace Lab, Chemin de la Hunière, 91761 Palaiseau, France; Laroche, M., Laboratoire Charles Fabry, Institut d'Optique, Campus Polytechnique, RD 128, 91127 Palaiseau cedex, France; Bardou, N., Laboratoire de Photonique et Nanostructures (LPN-CNRS), Route de Nozay, 91460 Marcoussis, France; Haïdar, R., Onera-The French Aerospace Lab, Chemin de la Hunière, 91761 Palaiseau, France; Pelouard, J.-L., Laboratoire de Photonique et Nanostructures (LPN-CNRS), Route de Nozay, 91460 Marcoussis, France; Collin, S., Laboratoire de Photonique et Nanostructures (LPN-CNRS), Route de Nozay, 91460 Marcoussis, France","We demonstrate that almost 100% of incident photons can interact with a monolayer of scatterers in a symmetrical environment. Nearly perfect optical extinction through free-standing transparent nanorod arrays has been measured. The sharp spectral opacity window, in the form of a characteristic Fano resonance, arises from the coherent multiple scattering in the array. In addition, we show that nanorods made of absorbing material exhibit a 25-fold absorption enhancement per unit volume compared to unstructured thin film. These results open new perspectives for light management in high-Q, low volume dielectric nanostructures, with potential applications in optical systems, spectroscopy, and optomechanics. © 2012 American Physical Society.",,"Absorbing materials; Absorption enhancement; Fano resonances; Light management; Nanorod arrays; Optical extinction; Opto-mechanics; Per unit volume; Potential applications; Single layer; Light extinction; Monolayers; Nanorods"
"Kaltenbaek R., Hechenblaikner G., Kiesel N., Romero-Isart O., Schwab K.C., Johann U., Aspelmeyer M.","Macroscopic quantum resonators (MAQRO): Testing quantum and gravitational physics with massive mechanical resonators",2012,"Experimental Astronomy",29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866896156&doi=10.1007%2fs10686-012-9292-3&partnerID=40&md5=e6fb8432ac1d66438c8a855d2643e086","Vienna Center for Quantum Science and Technology, Faculty of Physics, University of Vienna, Vienna, Austria; EADS Astrium Friedrichshafen, Immenstaad, Germany; Max-Planck-Institut für Quantenoptik, Garching, Germany; Applied Physics, California Institute of Technology, MC 128-95, Pasadena, CA 91125, United States","Kaltenbaek, R., Vienna Center for Quantum Science and Technology, Faculty of Physics, University of Vienna, Vienna, Austria; Hechenblaikner, G., EADS Astrium Friedrichshafen, Immenstaad, Germany; Kiesel, N., Vienna Center for Quantum Science and Technology, Faculty of Physics, University of Vienna, Vienna, Austria; Romero-Isart, O., Max-Planck-Institut für Quantenoptik, Garching, Germany; Schwab, K.C., Applied Physics, California Institute of Technology, MC 128-95, Pasadena, CA 91125, United States; Johann, U., EADS Astrium Friedrichshafen, Immenstaad, Germany; Aspelmeyer, M., Vienna Center for Quantum Science and Technology, Faculty of Physics, University of Vienna, Vienna, Austria","Quantum physics challenges our understanding of the nature of physical reality and of space-time and suggests the necessity of radical revisions of their underlying concepts. Experimental tests of quantum phenomena involving massive macroscopic objects would provide novel insights into these fundamental questions. Making use of the unique environment provided by space, MAQRO aims at investigating this largely unexplored realm of macroscopic quantum physics. MAQRO has originally been proposed as a medium-sized fundamental-science space mission for the 2010 call of Cosmic Vision. MAQRO unites two experiments: DECIDE (DECoherence In Double-Slit Experiments) and CASE (Comparative Acceleration Sensing Experiment). The main scientific objective of MAQRO, which is addressed by the experiment DECIDE, is to test the predictions of quantum theory for quantum superpositions of macroscopic objects containing more than 108 atoms. Under these conditions, deviations due to various suggested alternative models to quantum theory would become visible. These models have been suggested to harmonize the paradoxical quantum phenomena both with the classical macroscopic world and with our notion of Minkowski space-time. The second scientific objective of MAQRO, which is addressed by the experiment CASE, is to demonstrate the performance of a novel type of inertial sensor based on optically trapped microspheres. CASE is a technology demonstrator that shows how the modular design of DECIDE allows to easily incorporate it with other missions that have compatible requirements in terms of spacecraft and orbit. CASE can, at the same time, serve as a test bench for the weak equivalence principle, i. e., the universality of free fall with test-masses differing in their mass by 7 orders of magnitude. © 2012 The Author(s).","Equivalence principle; ESA's cosmic vision; Fundamental physics; Macrorealism; Quantum mechanics; Quantum optomechanics; Space mission",
"Nunnenkamp A., Børkje K., Girvin S.M.","Cooling in the single-photon strong-coupling regime of cavity optomechanics",2012,"Physical Review A - Atomic, Molecular, and Optical Physics",29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861614786&doi=10.1103%2fPhysRevA.85.051803&partnerID=40&md5=6150df8e979c94f7b4be34430d724e32","Department of Physics, University of Basel, Klingelbergstrasse 82, CH-4056 Basel, Switzerland; Departments of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States","Nunnenkamp, A., Department of Physics, University of Basel, Klingelbergstrasse 82, CH-4056 Basel, Switzerland; Børkje, K., Departments of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States; Girvin, S.M., Departments of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States","In this Rapid Communication we discuss how red-sideband cooling is modified in the single-photon strong-coupling regime of cavity optomechanics where the radiation pressure of a single photon displaces the mechanical oscillator by more than its zero-point uncertainty. Using Fermi's golden rule we calculate the transition rates induced by the optical drive without linearizing the optomechanical interaction. In the resolved-sideband limit we find multiple-phonon cooling resonances for strong single-photon coupling that lead to nonthermal steady states including the possibility of phonon antibunching. Our study generalizes the standard linear cooling theory. © 2012 American Physical Society.",,"Anti-bunching; Fermi's Golden Rule; Mechanical oscillators; Nonthermal; Optical drive; Opto-mechanics; Optomechanical; Radiation pressure; Rapid communication; Single photons; Steady state; Strong-coupling regime; Transition rates; Zero-point; Cooling; Phonons; Particle beams"
"Norte R.A., Moura J.P., Gröblacher S.","Mechanical Resonators for Quantum Optomechanics Experiments at Room Temperature",2016,"Physical Review Letters",28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963652747&doi=10.1103%2fPhysRevLett.116.147202&partnerID=40&md5=e50dda8ba14c2157cc56ed261de9651d","Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, Delft, Netherlands","Norte, R.A., Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, Delft, Netherlands; Moura, J.P., Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, Delft, Netherlands; Gröblacher, S., Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, Delft, Netherlands","All quantum optomechanics experiments to date operate at cryogenic temperatures, imposing severe technical challenges and fundamental constraints. Here, we present a novel design of on-chip mechanical resonators which exhibit fundamental modes with frequencies f and mechanical quality factors Qm sufficient to enter the optomechanical quantum regime at room temperature. We overcome previous limitations by designing ultrathin, high-stress silicon nitride (Si3N4) membranes, with tensile stress in the resonators' clamps close to the ultimate yield strength of the material. By patterning a photonic crystal on the SiN membranes, we observe reflectivities greater than 99%. These on-chip resonators have remarkably low mechanical dissipation, with Qm∼108, while at the same time exhibiting large reflectivities. This makes them a unique platform for experiments towards the observation of massive quantum behavior at room temperature. © 2016 American Physical Society.",,"Reflection; Silicon nitride; Cryogenic temperatures; Fundamental constraints; Mechanical dissipation; Mechanical quality factors; Mechanical resonators; On-chip resonators; Quantum optomechanics; Technical challenges; Resonators"
"Schitea A., Tuef M., Duma V.-F.","Modeling of Risley prisms devices for exact scan patterns",2013,"Proceedings of SPIE - The International Society for Optical Engineering",28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880386156&doi=10.1117%2f12.2020386&partnerID=40&md5=aaf77efc2a04c7faec31ce5d5c9625df","3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Schitea, A., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania; Tuef, M., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania; Duma, V.-F., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","We investigate the scan patterns produced using different pairs of Risley prisms. Combinations of optical wedges with different prism angles (corresponding to different deviations angles of the prisms) are considered to complete the exact modeling of the scanning process using specialized mechanical design programs. While this procedure is somehow elaborate with regard to approximate methods, it has the advantage of providing the exact movement laws of the laser spot on various types of surfaces scanned with this type of refractive device. The study is made with regard to the characteristic parameters of the device, such as θ1 and θ2 - the prism angles of the two wedges, ω1 and ω2 - the rotating speeds of the two wedges, and the geometry of the scanner (which includes the distance between the two prisms, their orientation, and the distance to the scanned plane). The scanner is approached for a row of values of the characteristic parameters k=θ2/θ1 and M=ω2/ω1 introduced in Marshall's classical work. The results allow for choosing the most appropriate patterns for specific scanning applications. © 2013 SPIE.","Modeling; Optical devices; Optomechanics; Risley prisms; Scan patterns; Scanners; Wedges","Opto-mechanics; Risley prism; Scan patterns; Scanners; Wedges; Models; Optical devices; Scanning; Prisms"
"Purdy T.P., Peterson R.W., Yu P.-L., Regal C.A.","Cavity optomechanics with Si3N4 membranes at cryogenic temperatures",2012,"New Journal of Physics",28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870402188&doi=10.1088%2f1367-2630%2f14%2f11%2f115021&partnerID=40&md5=034284531b00efbe171009b6d8ba2a37","JILA, University of Colorado, National Institute of Standards and Technology, Boulder, CO 80309, United States; Department of Physics, University of Colorado, Boulder, CO 80309, United States","Purdy, T.P., JILA, University of Colorado, National Institute of Standards and Technology, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Peterson, R.W., JILA, University of Colorado, National Institute of Standards and Technology, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Yu, P.-L., JILA, University of Colorado, National Institute of Standards and Technology, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Regal, C.A., JILA, University of Colorado, National Institute of Standards and Technology, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States","We describe a cryogenic cavity-optomechanical system that combines Si 3N4 membranes with a mechanically rigid Fabry-Perot cavity. The extremely high products of quality factor and frequency of the membranes allow us to cool a MHz mechanical mode to a phonon occupation of , starting at a bath temperature of 5 K. We show that even at cold temperatures thermally occupied mechanical modes of the cavity elements can be a limitation, and we discuss methods to reduce these effects sufficiently for achieving ground state cooling. This promising new platform should have versatile uses for hybrid devices and searches for radiation pressure shot noise. © IOP Publishing and Deutsche Physikalische Gesellschaft.",,"Bath temperatures; Cold temperatures; Cryogenic temperatures; Fabry-Perot cavity; Ground state cooling; Hybrid devices; Opto-mechanics; Quality factors; Radiation pressure; Shot noise; Silicon"
"Ghobadi R., Bahrampour A.R., Simon C.","Quantum optomechanics in the bistable regime",2011,"Physical Review A - Atomic, Molecular, and Optical Physics",28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053138534&doi=10.1103%2fPhysRevA.84.033846&partnerID=40&md5=d17ec74087c48c2c5c6f7db6ae7bce35","Institute for Quantum Information Science, Department of Physics and Astronomy, University of Calgary, Calgary, AB T2N 1N4, Canada; Department of Physics, Sharif University of Technology, Tehran, Iran","Ghobadi, R., Institute for Quantum Information Science, Department of Physics and Astronomy, University of Calgary, Calgary, AB T2N 1N4, Canada, Department of Physics, Sharif University of Technology, Tehran, Iran; Bahrampour, A.R., Department of Physics, Sharif University of Technology, Tehran, Iran; Simon, C., Institute for Quantum Information Science, Department of Physics and Astronomy, University of Calgary, Calgary, AB T2N 1N4, Canada","We study the simplest optomechanical system with a focus on the bistable regime. The covariance matrix formalism allows us to study both cooling and entanglement in a unified framework. We identify two key factors governing entanglement; namely, the bistability parameter (i.e., the distance from the end of a stable branch in the bistable regime) and the effective detuning, and we describe the optimum regime where entanglement is greatest. We also show that, in general, entanglement is a nonmonotonic function of optomechanical coupling. This is especially important in understanding the optomechanical entanglement of the second stable branch. © 2011 American Physical Society.",,"Bistables; Detunings; Key factors; Non-monotonic function; Opto-mechanics; Optomechanical; Optomechanical systems; Unified framework; Covariance matrix"
"Singh S., Phelps G.A., Goldbaum D.S., Wright E.M., Meystre P.","All-optical optomechanics: An optical spring mirror",2010,"Physical Review Letters",28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349239998&doi=10.1103%2fPhysRevLett.105.213602&partnerID=40&md5=40fa88c6ca92320413aebae4361eac54","Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States","Singh, S., Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States; Phelps, G.A., Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States; Goldbaum, D.S., Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States; Wright, E.M., Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States; Meystre, P., Department of Physics, College of Optical Sciences, University of Arizona, Tucson, AZ 85721, United States","The dominant hurdle to the operation of optomechanical systems in the quantum regime is the coupling of the vibrating element to a thermal reservoir via mechanical supports. Here we propose a scheme that uses an optical spring to replace the mechanical support. We show that the resolved-sideband regime of cooling can be reached in a configuration using a high-reflectivity disk mirror held by an optical tweezer as one of the end mirrors of a Fabry-Perot cavity. We find a final phonon occupation number of the trapped mirror n̄=0.56 for reasonable parameters, the limit being set by our approximations, and not any fundamental physics. This demonstrates the promise of dielectric disks attached to optical springs for the observation of quantum effects in macroscopic objects. © 2010 The American Physical Society.",,"A-thermal; All-optical; Dielectric disks; Fabry-Perot cavity; Fundamental physics; High reflectivity; Macroscopic objects; Mechanical support; Opto-mechanics; Optomechanical systems; Quantum effects; Quantum regimes; Vibrating elements; Disks (structural components); Fabry-Perot interferometers; Quantum electronics; Mirrors"
"Lü X.-Y., Jing H., Ma J.-Y., Wu Y.","P T -Symmetry-Breaking Chaos in Optomechanics",2015,"Physical Review Letters",27,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936980954&doi=10.1103%2fPhysRevLett.114.253601&partnerID=40&md5=d19b83d2a4daa4ff3842be01246dbfa2","Wuhan National Laboratory for Optoelectronics, School of Physics, Huazhong University of Science and Technology, Wuhan, China; Department of Physics, Henan Normal University, Xinxiang, China","Lü, X.-Y., Wuhan National Laboratory for Optoelectronics, School of Physics, Huazhong University of Science and Technology, Wuhan, China; Jing, H., Department of Physics, Henan Normal University, Xinxiang, China; Ma, J.-Y., Wuhan National Laboratory for Optoelectronics, School of Physics, Huazhong University of Science and Technology, Wuhan, China; Wu, Y., Wuhan National Laboratory for Optoelectronics, School of Physics, Huazhong University of Science and Technology, Wuhan, China","We demonstrate PT-symmetry-breaking chaos in an optomechanical system, which features an ultralow driving threshold. In principle, this chaos will emerge once a driving laser is applied to the cavity mode and lasts for a period of time. The driving strength is inversely proportional to the starting time of chaos. This originally comes from the dynamical enhancement of nonlinearity by field localization in the PT-symmetry-breaking phase. Moreover, this chaos is switchable by tuning the system parameters so that a PT-symmetry phase transition occurs. This work may fundamentally broaden the regimes of cavity optomechanics and nonlinear optics. It offers the prospect of exploring ultralow-power-laser-triggered chaos and its potential applications in secret communication. © 2015 American Physical Society.",,"Atomic physics; Cavity optomechanics; Field localization; Opto-mechanical systems; Opto-mechanics; Secret communications; Starting time; Symmetry-breaking; Ultra-low power; Nonlinear optics"
